Region,Country,Year,"Reference date",Reference,URL,"NATLEX ISN","General remarks"
Europe,Türkiye,2019,20121018,"Law on Trade Unions and Collective Labour Agreements No.6356 (replacing Laws No. 2821 and No.2822)",https://www.ilo.org/dyn/natlex/natlex4.detail?p_lang=en&p_isn=91814&p_country=TUR&p_count=781&p_classification=02&p_classcount=44,91814,
Europe,Türkiye,2019,20121220,"Code of Obligations of 19 December 2012",,88938,
Europe,Türkiye,2019,20171025,"Law on Labor Courts No. 7036",,,
Africa,"Tanzania, United Republic of",2019,20040604,"Employment and Labour Relations Act (No. 6 of 2004) [ELRA]",,68319,"In 2017, the Employment and Labour Relations (General) Regulations, 2017 were enacted to improve the implementation of ELRA."
Africa,"Tanzania, United Republic of",2019,20040604,"Labour Institutions Act (No. 7 of 2004)",,68356,"In 2017, the Employment and Labour Relations (General) Regulations, 2017 were enacted to improve the implementation of ELRA."
Africa,"Tanzania, United Republic of",2019,20150918,"Employment and Labour Laws (Miscellaneous Amendments) Act, 2015 (No. 24 of 2015)",https://www.ilo.org/dyn/natlex/natlex4.detail?p_lang=en&p_isn=100754,100754,"In 2017, the Employment and Labour Relations (General) Regulations, 2017 were enacted to improve the implementation of ELRA."
Africa,"Tanzania, United Republic of",2019,20170224,"The Employment and Labour Relations (General) Regulations, 2017",https://www.ilo.org/dyn/natlex/natlex4.detail?p_lang=en&p_isn=104378,104378,"In 2017, the Employment and Labour Relations (General) Regulations, 2017 were enacted to improve the implementation of ELRA."
Africa,"Tanzania, United Republic of",2019,20070124,"Employment and Labour Relations (Code of Good Practice) Rules, 2007 (GN No. 42 of 2007).",,,"In 2017, the Employment and Labour Relations (General) Regulations, 2017 were enacted to improve the implementation of ELRA."
Europe,Ukraine,2019,20121016,"Law on Employment, adopted in 2013<br/><br/>Labour Code of 1972 as last amended by Law No 4711-VI on October 16, 2012",http://zakon1.rada.gov.ua/laws/show/322-08/page,46087,"Law on Employment, adopted in 2013, compared to the Labour Code of 1972, contains only a new definition of mass redundancy"
Europe,Ukraine,2019,20110201,"Ministry of Justice Clarification on the Dismissal Procedure, in Ukrainian",https://zakon.rada.gov.ua/laws/show/n0003323-11,,"Law on Employment, adopted in 2013, compared to the Labour Code of 1972, contains only a new definition of mass redundancy"
Europe,Ukraine,2019,2010,"Civil Procedure Code",www.wipo.int/wipolex/fr/text.jsp?file_id=187648,,"Law on Employment, adopted in 2013, compared to the Labour Code of 1972, contains only a new definition of mass redundancy"
Africa,Uganda,2019,20060524,"Employment Act [EA], Act No. 6 of 2006",,74416,
Africa,Uganda,2019,20060524,"The Labour Disputes (Arbitration and Settlement) Act [LDA], Act No. 8 of 2006",,74413,
Africa,Uganda,2019,20110428,"The Employment Regulations, 2011, Statutory Instrument No. 61 of 2011",,86721,
Americas,"United States",2017,20111118,"Civil Rights Act [CRA] of 1964 (Title VII), as last amended by the Lilly Ledbetter Fair Pay Act 2009 and Public Law 112-55 of  November 2011, 42 U.S.C.A. secs. 2000e to 2000e-17",http://www.law.cornell.edu/uscode/text/42/chapter-21/subchapter-VI,31147,"<b>There is no federal law regulating the termination of employment as such. The United States has an &quot;at will&quot; employment system which allows for the dismissal of workers for any reason, or for no reason at all. In addition, there are no statutory procedural requirements to be observed with the exception of notice requirements in the event of mass dismissal, as set out in the WARN Act)</b>.<br/>In the American States, with the exceptions of the State of Montana, the Commonwealth of Puerto Rico, and the non-metropolitan territory of the US Virgin Islands, as yet there is no legislation specifically focused on employment termination.<br/><br/>Most of the laws listed under &quot;reference&quot; are federal anti discrimination laws which operate to provide some measure of protection to employees in regard to termination.<br/>The relevant federal statutes listed here are supplemented in many of the fifty states by similar legislation.<br/><br/>It is worth noting that an attempt has been made to provide legislative guidelines for dismissals under a model act. In 1991, the National Conference of Commissioners of Uniform State Laws adopted a Model Employment Termination Act (META) which would protect workers from dismissal without good cause by an employer. The model legislation is similar in scope and intention to the ILO Termination of Employment Convention, 1982 (No. 158). As of 2010, only Delaware has enacted a version of META.<br/><br/><br/>"
